epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3643,1.47748,2.27821,1.7165,0.96655,1,0.99203,0.45899,1.40156,2.78558,1.6137,0.000649573,0.000649573,0.000649573
2,123.23,1.23096,1.51313,1.4537,0.89609,0.77778,0.9109,0.32375,1.90199,2.30116,2.30672,0.00131535,0.00131535,0.00131535
3,178.65,1.30145,1.49821,1.50815,0.95161,0.94444,0.9809,0.67564,1.14362,2.03946,1.45767,0.00197753,0.00197753,0.00197753
4,234.001,1.30964,1.42632,1.51431,0.88994,0.97222,0.96741,0.29857,2.31238,3.07847,2.50812,0.00198781,0.00198781,0.00198781
5,290.23,1.26916,1.31608,1.49161,0.51932,0.90044,0.76963,0.25615,1.97856,3.50894,2.54404,0.00197837,0.00197837,0.00197837
6,345.4,1.25283,1.24365,1.46718,0.99645,1,0.995,0.55454,1.50013,1.40493,1.65862,0.00196627,0.00196627,0.00196627
7,399.7,1.16296,1.12303,1.36243,0.9973,1,0.995,0.59533,1.60715,1.30575,1.99459,0.00195155,0.00195155,0.00195155
8,454.219,1.13953,1.05333,1.35951,0.99738,1,0.995,0.71718,1.19077,0.91403,1.46721,0.00193424,0.00193424,0.00193424
9,508.732,1.12399,0.97036,1.35006,0.99802,1,0.995,0.72142,1.19429,0.81884,1.32476,0.00191441,0.00191441,0.00191441
10,568.785,1.11386,0.92854,1.34948,0.99128,1,0.995,0.67071,1.41666,1.0877,1.58603,0.0018921,0.0018921,0.0018921
11,629.389,1.09024,0.90032,1.33101,0.99727,1,0.995,0.69976,1.27282,0.74126,1.43764,0.00186737,0.00186737,0.00186737
12,687.267,1.07535,0.84568,1.33647,0.99761,1,0.995,0.57143,1.49115,0.95198,1.49352,0.00184028,0.00184028,0.00184028
13,745.048,1.02959,0.82235,1.27753,0.99844,1,0.995,0.71643,1.07647,0.64131,1.19167,0.00181093,0.00181093,0.00181093
14,801.002,0.99012,0.77227,1.26774,0.98816,1,0.995,0.64251,1.43209,0.87558,1.58171,0.00177937,0.00177937,0.00177937
15,857.034,1.01386,0.77956,1.3007,0.99759,1,0.995,0.77991,1.00113,0.65504,1.27513,0.00174571,0.00174571,0.00174571
16,912.722,0.93934,0.75412,1.23985,0.99816,1,0.995,0.65078,1.37424,0.6175,1.43467,0.00171004,0.00171004,0.00171004
17,968.728,0.94231,0.74821,1.24983,0.99819,1,0.995,0.80365,0.91543,0.57753,1.19926,0.00167244,0.00167244,0.00167244
18,1024.17,0.95849,0.74054,1.27068,0.99656,1,0.995,0.80268,0.84833,0.5899,1.05959,0.00163303,0.00163303,0.00163303
19,1083.23,0.90173,0.70496,1.22286,0.99793,1,0.995,0.80464,0.90006,0.76319,1.19004,0.00159191,0.00159191,0.00159191
20,1143,0.91104,0.69964,1.22126,0.99735,1,0.995,0.72811,1.02225,0.58799,1.32213,0.00154919,0.00154919,0.00154919
21,1199.7,0.92115,0.7044,1.23418,0.99754,1,0.995,0.709,1.18406,0.54219,1.33851,0.001505,0.001505,0.001505
22,1255.95,0.89443,0.67019,1.22534,0.99813,1,0.995,0.69348,1.14947,0.51386,1.35964,0.00145945,0.00145945,0.00145945
