epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.20294,0.66536,0.53386,1.083,0.99848,1,0.995,0.8971,0.46152,0.29561,0.80754,0.00018,0.00018,0.00018
2,10.6682,0.64823,0.46987,1.0838,0.99842,1,0.995,0.8763,0.65184,0.34519,0.95349,0.000379971,0.000379971,0.000379971
3,16.1291,0.68006,0.4652,1.08113,0.99838,1,0.995,0.93136,0.42114,0.25071,0.79856,0.000579825,0.000579825,0.000579825
4,19.8021,0.70798,0.47702,1.1148,0.99837,1,0.995,0.75817,0.98212,0.42787,1.17061,0.000779471,0.000779471,0.000779471
5,23.4445,0.72254,0.4904,1.10599,0.9936,1,0.995,0.79243,0.87089,0.42647,1.12402,0.000978818,0.000978818,0.000978818
6,26.6067,0.80415,0.53533,1.14812,0.99818,1,0.995,0.89215,0.56762,0.42347,0.95079,0.00117778,0.00117778,0.00117778
7,30.1375,0.82098,0.538,1.15485,0.99839,1,0.995,0.7761,0.82833,0.35049,0.99189,0.00137626,0.00137626,0.00137626
8,33.261,0.80073,0.55772,1.15972,0.99838,1,0.995,0.82998,0.68805,0.33455,0.93899,0.00157417,0.00157417,0.00157417
9,36.1334,0.76826,0.52933,1.12667,0.99836,1,0.995,0.7001,1.25356,0.54848,1.36879,0.00177143,0.00177143,0.00177143
10,39.4268,0.80544,0.53175,1.17314,0.99832,1,0.995,0.84665,0.6473,0.38241,0.93697,0.00196793,0.00196793,0.00196793
11,42.5307,0.82131,0.5675,1.15776,0.99375,1,0.995,0.87827,0.62015,0.55753,0.96944,0.00198496,0.00198496,0.00198496
12,45.6274,0.8652,0.59802,1.18204,0.96743,1,0.995,0.80497,0.6198,0.81588,0.96969,0.00198181,0.00198181,0.00198181
13,48.8698,0.82405,0.56424,1.1599,0.95681,0.97222,0.99395,0.79992,0.73857,0.78705,1.15855,0.00197837,0.00197837,0.00197837
14,52.494,0.83251,0.57367,1.18464,0.9941,1,0.995,0.80488,0.72636,0.57109,1.01134,0.00197463,0.00197463,0.00197463
15,55.9555,0.83624,0.57019,1.18306,0.99663,1,0.995,0.7247,1.0892,0.59595,1.22421,0.00197059,0.00197059,0.00197059
16,59.412,0.78465,0.55516,1.13857,0.98525,1,0.995,0.74213,1.07674,0.79454,1.19699,0.00196627,0.00196627,0.00196627
17,62.8705,0.82644,0.55271,1.16192,0.99796,1,0.995,0.61913,1.43676,0.70919,1.57863,0.00196165,0.00196165,0.00196165
18,66.2803,0.78717,0.53501,1.14177,0.99834,1,0.995,0.8054,0.80103,0.45606,1.0203,0.00195674,0.00195674,0.00195674
19,69.8721,0.80938,0.54373,1.16238,0.99445,1,0.995,0.7282,0.98483,0.55982,1.16324,0.00195155,0.00195155,0.00195155
20,73.3083,0.81706,0.5502,1.14817,0.99595,1,0.995,0.6928,1.10104,0.52432,1.37638,0.00194606,0.00194606,0.00194606
21,76.6271,0.80191,0.54757,1.13289,0.99107,1,0.995,0.74736,0.98036,0.65751,1.25638,0.0019403,0.0019403,0.0019403
22,80.1205,0.80496,0.55749,1.15812,0.99816,1,0.995,0.78015,0.87098,0.42227,1.14727,0.00193424,0.00193424,0.00193424
23,83.6281,0.79797,0.5468,1.16149,0.9928,1,0.995,0.80924,0.81263,0.53821,1.09194,0.00192791,0.00192791,0.00192791
24,86.9931,0.78905,0.52407,1.14365,0.97845,1,0.995,0.83238,0.70164,0.71176,1.05871,0.0019213,0.0019213,0.0019213
25,90.2948,0.77754,0.52973,1.12445,0.99289,1,0.995,0.79797,0.82051,0.76151,1.23392,0.00191441,0.00191441,0.00191441
26,93.2888,0.78434,0.52129,1.14157,0.99811,1,0.995,0.88069,0.4611,0.35295,0.84723,0.00190724,0.00190724,0.00190724
27,96.1719,0.76404,0.53246,1.13294,0.99802,1,0.995,0.90795,0.52477,0.34892,0.91055,0.00189981,0.00189981,0.00189981
28,99.3176,0.77697,0.52144,1.11761,0.99771,1,0.995,0.68771,1.12436,0.46594,1.29606,0.0018921,0.0018921,0.0018921
29,102.203,0.79858,0.50799,1.14346,0.99578,1,0.995,0.91415,0.43351,0.36591,0.84908,0.00188412,0.00188412,0.00188412
30,105.377,0.75486,0.51143,1.12247,0.99491,1,0.995,0.87928,0.49004,0.39971,0.9373,0.00187587,0.00187587,0.00187587
31,108.328,0.74916,0.49933,1.10205,0.99812,1,0.995,0.84836,0.64995,0.42627,0.93748,0.00186737,0.00186737,0.00186737
32,111.245,0.78127,0.53095,1.13809,0.99741,1,0.995,0.82088,0.8334,0.49767,1.09199,0.0018586,0.0018586,0.0018586
33,114.304,0.76977,0.53444,1.14155,0.97289,0.99686,0.99284,0.82557,0.89148,0.62503,1.18584,0.00184957,0.00184957,0.00184957
34,117.289,0.74862,0.48571,1.09893,0.99826,1,0.995,0.85608,0.7285,0.40587,1.01197,0.00184028,0.00184028,0.00184028
35,120.821,0.71892,0.47215,1.07529,0.99836,1,0.995,0.89228,0.67565,0.39463,0.97598,0.00183075,0.00183075,0.00183075
36,124.05,0.71021,0.48617,1.09494,0.99837,1,0.995,0.86095,0.50862,0.30617,0.85686,0.00182096,0.00182096,0.00182096
37,127.145,0.75189,0.50231,1.13244,0.99823,1,0.995,0.90149,0.49544,0.33984,0.84797,0.00181093,0.00181093,0.00181093
38,130.508,0.7446,0.49397,1.13037,0.99848,1,0.995,0.79571,0.75258,0.38928,0.94318,0.00180065,0.00180065,0.00180065
