epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4966,0.92109,0.59993,1.37611,0.99892,1,0.995,0.84064,0.68953,0.44251,1.00876,0.000654321,0.000654321,0.000654321
2,93.7272,0.87053,0.53596,1.28333,0.99803,1,0.995,0.76133,0.92707,0.54948,1.23179,0.0013067,0.0013067,0.0013067
3,135.412,0.85182,0.52728,1.26538,0.99641,1,0.995,0.78661,0.83723,0.42305,1.11331,0.00190259,0.00190259,0.00190259
4,179.273,0.84503,0.53393,1.26546,0.99892,1,0.995,0.86021,0.53466,0.35862,0.91349,0.00181093,0.00181093,0.00181093
5,218.963,0.84332,0.52468,1.26312,0.99898,1,0.995,0.82902,0.6164,0.44435,0.91691,0.00167244,0.00167244,0.00167244
6,259.976,0.80958,0.49938,1.23356,0.9984,1,0.995,0.8612,0.66455,0.47991,0.92954,0.001505,0.001505,0.001505
7,299.413,0.79028,0.47073,1.20882,0.99887,1,0.995,0.80699,0.69143,0.40079,0.98181,0.00131593,0.00131593,0.00131593
8,340.375,0.73425,0.44127,1.17474,0.99893,1,0.995,0.83789,0.78067,0.37691,0.93525,0.00111348,0.00111348,0.00111348
9,378.882,0.71101,0.41417,1.15108,0.99896,1,0.995,0.87297,0.56816,0.29115,0.85883,0.000906517,0.000906517,0.000906517
10,419.336,0.68942,0.39344,1.14308,0.99895,1,0.995,0.87786,0.48547,0.29907,0.8245,0.000704073,0.000704073,0.000704073
11,459.386,0.66073,0.37746,1.13098,0.99891,1,0.995,0.9196,0.53305,0.28007,0.80172,0.000515,0.000515,0.000515
12,498.659,0.53655,0.28402,1.06209,0.99898,1,0.995,0.95681,0.32381,0.21393,0.73596,0.000347561,0.000347561,0.000347561
13,536.629,0.52541,0.26995,1.04574,0.99897,1,0.995,0.97064,0.29017,0.21925,0.7104,0.000209073,0.000209073,0.000209073
14,574.666,0.50342,0.25984,1.02722,0.99899,1,0.995,0.96847,0.23725,0.19422,0.68862,0.00010559,0.00010559,0.00010559
15,610.963,0.49129,0.25508,1.02411,0.99898,1,0.995,0.95721,0.25756,0.20684,0.6889,4.16339e-05,4.16339e-05,4.16339e-05
